,name,company,year,Price,kms_driven,fuel_type
0,Hyundai Santro Xing,Hyundai,2007-01-01,80000,45000.0,Petrol
1,Mahindra Jeep CL550,Mahindra,2006-01-01,425000,40.0,Diesel
2,Hyundai Grand i10,Hyundai,2014-01-01,325000,28000.0,Petrol
3,Ford EcoSport Titanium,Ford,2014-01-01,575000,36000.0,Diesel
4,Ford Figo,Ford,2012-01-01,175000,41000.0,Diesel
5,Hyundai Eon,Hyundai,2013-01-01,190000,25000.0,Petrol
6,Ford EcoSport Ambiente,Ford,2016-01-01,830000,24530.0,Diesel
7,Maruti Suzuki Alto,Maruti,2015-01-01,250000,60000.0,Petrol
8,Skoda Fabia Classic,Skoda,2010-01-01,182000,60000.0,Petrol
9,Maruti Suzuki Stingray,Maruti,2015-01-01,315000,30000.0,Petrol
10,Hyundai Elite i20,Hyundai,2014-01-01,415000,32000.0,Petrol
11,Mahindra Scorpio SLE,Mahindra,2015-01-01,320000,48660.0,Diesel
12,Audi A8,Audi,2017-01-01,1000000,4000.0,Petrol
13,Audi Q7,Audi,2014-01-01,500000,16934.0,Diesel
14,Mahindra Scorpio S10,Mahindra,2016-01-01,350000,43000.0,Diesel
15,Maruti Suzuki Alto,Maruti,2014-01-01,160000,35550.0,Petrol
16,Mahindra Scorpio S10,Mahindra,2016-01-01,310000,39522.0,Diesel
17,Maruti Suzuki Alto,Maruti,2015-01-01,75000,39000.0,Petrol
18,Hyundai i20 Sportz,Hyundai,2012-01-01,100000,55000.0,Petrol
19,Maruti Suzuki Alto,Maruti,2017-01-01,190000,72000.0,Petrol
20,Maruti Suzuki Vitara,Maruti,2016-01-01,290000,15975.0,Diesel
21,Maruti Suzuki Alto,Maruti,2008-01-01,95000,70000.0,Petrol
22,Mahindra Bolero DI,Mahindra,2017-01-01,180000,23452.0,Diesel
23,Maruti Suzuki Swift,Maruti,2014-01-01,385000,35522.0,Diesel
24,Mahindra Scorpio S10,Mahindra,2015-01-01,250000,48508.0,Diesel
25,Maruti Suzuki Swift,Maruti,2017-01-01,180000,15487.0,Petrol
26,Maruti Suzuki Wagon,Maruti,2013-01-01,105000,39000.0,Petrol
27,Maruti Suzuki Wagon,Maruti,2013-01-01,105000,39000.0,Petrol
28,Toyota Innova 2.0,Toyota,2012-01-01,650000,82000.0,Diesel
29,Renault Lodgy 85,Renault,2018-01-01,689999,20000.0,Diesel
30,Skoda Yeti Ambition,Skoda,2012-01-01,448000,68000.0,Diesel
31,Maruti Suzuki Baleno,Maruti,2017-01-01,549000,32000.0,Diesel
32,Renault Duster 110,Renault,2012-01-01,501000,38000.0,Diesel
33,Renault Duster 85,Renault,2013-01-01,489999,27000.0,Diesel
34,Honda City 1.5,Honda,2011-01-01,280000,33000.0,Petrol
35,Maruti Suzuki Dzire,Maruti,2013-01-01,349999,46000.0,Diesel
36,Honda Amaze,Honda,2013-01-01,284999,46000.0,Diesel
37,Honda Amaze 1.5,Honda,2015-01-01,345000,36000.0,Diesel
38,Honda City,Honda,2015-01-01,499999,55000.0,Petrol
39,Datsun Redi GO,Datsun,2017-01-01,235000,16000.0,Petrol
40,Maruti Suzuki SX4,Maruti,2010-01-01,249999,36000.0,Petrol
41,Mitsubishi Pajero Sport,Mitsubishi,2015-01-01,1475000,47000.0,Diesel
42,Mahindra Scorpio S10,Mahindra,2015-01-01,395000,35000.0,Diesel
43,Maruti Suzuki Swift,Maruti,2017-01-01,220000,30874.0,Petrol
44,Honda City ZX,Honda,2017-01-01,170000,15000.0,Diesel
45,Maruti Suzuki Wagon,Maruti,2013-01-01,85000,29685.0,Petrol
46,Tata Indigo eCS,Tata,2017-01-01,200000,130000.0,Diesel
47,Mahindra Scorpio SLE,Mahindra,2012-01-01,570000,19000.0,Diesel
48,Volkswagen Polo Highline,Volkswagen,2014-01-01,315000,60000.0,Petrol
49,Chevrolet Spark LS,Chevrolet,2010-01-01,110000,41000.0,Petrol
50,Renault Duster 110PS,Renault,2012-01-01,501000,35000.0,Diesel
51,Honda City,Honda,2015-01-01,448999,54000.0,Petrol
52,Mini Cooper S,Mini,2013-01-01,1891111,13000.0,Petrol
53,Skoda Fabia 1.2L,Skoda,2011-01-01,159500,38200.0,Diesel
